date,action,price,units,fee,pnl
2025-04-26,BUY,94773.11,0.10541,10.0,0.0
2025-04-28,SELL,93809.34,0.10541,9.89,-111.48
2025-04-30,BUY,94256.36,0.1047,9.88,0.0
2025-05-05,SELL,94326.62,0.1047,9.88,-2.52
2025-05-07,BUY,96854.53,0.101764,9.87,0.0
2025-05-12,SELL,103994.06,0.101764,10.58,715.96
2025-05-13,BUY,102876.83,0.102663,10.57,0.0
2025-05-19,SELL,106030.64,0.102663,10.89,312.89
2025-05-20,BUY,105629.42,0.102847,10.87,0.0
2025-05-26,SELL,108861.81,0.102847,11.2,321.25
2025-05-27,BUY,109377.72,0.102157,11.18,0.0
2025-05-28,SELL,109068.46,0.102157,11.14,-42.74
2025-05-29,BUY,107838.18,0.103116,11.13,0.0
2025-06-02,SELL,105710.01,0.103116,10.9,-230.35
2025-06-11,BUY,110212.73,0.098706,10.89,0.0
2025-06-16,SELL,105554.49,0.098706,10.42,-470.21
2025-06-18,BUY,104683.42,0.099328,10.41,0.0
2025-06-19,SELL,104722.7,0.099328,10.4,-6.5
2025-06-29,BUY,107331.59,0.09672,10.39,0.0
2025-06-30,SELL,108396.62,0.09672,10.48,92.53
2025-07-11,BUY,115879.65,0.090293,10.47,0.0
2025-07-21,SELL,117256.92,0.090293,10.59,113.77
2025-07-22,BUY,117482.47,0.08994,10.58,0.0
2025-07-27,SELL,117959.54,0.08994,10.61,32.3
2025-07-31,BUY,117833.24,0.089856,10.6,0.0
2025-08-01,SELL,115700.0,0.089856,10.4,-202.08
2025-08-13,BUY,120202.53,0.086318,10.39,0.0
2025-08-18,SELL,117542.84,0.086318,10.15,-239.72
2025-08-20,BUY,112778.34,0.089784,10.14,0.0
2025-08-21,SELL,114252.4,0.089784,10.26,122.09
2025-08-24,BUY,115359.98,0.088745,10.25,0.0
2025-08-25,SELL,113399.55,0.088745,10.06,-184.04
2025-10-03,BUY,120611.72,0.083271,10.05,0.0
2025-10-06,SELL,123506.19,0.083271,10.28,230.74
2025-10-07,BUY,124773.51,0.082261,10.27,0.0
2025-10-11,STOP_LOSS,113201.74,0.082261,9.31,-961.21
2026-01-10,BUY,90504.9,0.102684,9.3,0.0
2026-01-12,SELL,90819.37,0.102684,9.33,22.97
2026-01-14,BUY,95260.44,0.097701,9.32,0.0
2026-01-19,SELL,93752.71,0.097701,9.16,-156.47
