date,action,price,units,cost
2025-04-26,BUY,94773.11200643536,0.10540964402774546,10.0
2025-06-03,SELL,105884.74263221149,0.10540964402774546,11.161273028830857
2025-06-04,BUY,105434.47745144971,0.10564818940915674,11.150111755802028
2025-06-05,SELL,104812.9182188067,0.10564818940915674,11.073295036506947
2025-06-11,BUY,110212.73252109604,0.10027116891974022,11.06222174147044
2025-06-17,SELL,106951.2720181497,0.10027116891974022,10.724129062712976
2025-06-18,BUY,104683.42479835715,0.10223864522327486,10.713404933650262
2025-06-19,SELL,104722.695052907,0.10223864522327486,10.706706466339359
2025-06-21,BUY,103290.105144757,0.10344944218168929,10.69599975987302
2025-06-22,SELL,101532.5683847329,0.10344944218168929,10.503487562674842
2025-06-28,BUY,107078.91560644074,0.0978950060492258,10.492984075112167
2025-07-01,SELL,107132.79910701896,0.0978950060492258,10.487766016652113
2025-07-11,BUY,115879.65030112496,0.09032475456377188,10.477278250635461
2025-07-27,SELL,117959.54234360624,0.09032475456377188,10.654666710641091
2025-07-28,BUY,119418.91405141471,0.08904257852578043,10.64401204393045
2025-07-30,SELL,117853.30892863822,0.08904257852578043,10.493962514801328
2025-07-31,BUY,117833.24087995925,0.08887971683986377,10.483468552286526
2025-08-01,SELL,115700.00243915782,0.08887971683986377,10.283383455163897
2025-08-13,BUY,120202.53485503166,0.08537945546667831,10.273100071708733
2025-08-21,SELL,114252.39755195397,0.08537945546667831,9.75480748874828
2025-08-24,BUY,115359.98346714744,0.08439068155163806,9.745052681259532
2025-08-25,SELL,113399.54847314971,0.08439068155163806,9.569865183297123
2025-10-03,BUY,120611.71911591051,0.07918579631235706,9.560295318113825
2025-10-16,SELL,110708.66960879423,0.07918579631235706,8.766554161654014
2026-01-10,BUY,90504.89560340019,0.09666913332759179,8.75778760749236
2026-01-21,SELL,88312.84053255555,0.09666913332759179,8.537125755979964
